# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.9.0
#@/tick	19590
#@/user_id	c9f9f78f-86f8-43c0-aa8d-5b4cd8469c68
a 	啊	c=33 d=6.36438 t=19590
ben shen 	本身	c=3 d=1.38116 t=19590
ben zhou 	本周	c=4 d=1.15094 t=19590
beng 	崩	c=1 d=0.50409 t=19590
beng bu zhu le 	绷不住了	c=1 d=0.900325 t=19590
beng kui 	崩溃	c=2 d=1.38523 t=19590
beng le 	崩了	c=3 d=1.44938 t=19590
bi 	比	c=12 d=4.08455 t=19590
bi an 	彼岸	c=0 d=0.0960789 t=19590
bi dui 	比对	c=1 d=0.97531 t=19590
bi ji 	笔记	c=1 d=0.839457 t=19590
bi ji ben 	笔记本	c=3 d=1.15404 t=19590
bi jia 	比价	c=0 d=0.057695 t=19590
bi jia hao 	比价好	c=1 d=0.579842 t=19590
bi jiao 	比较	c=10 d=2.3047 t=19590
bi jiao di 	比较低	c=2 d=1.56518 t=19590
bi jiao duo 	比较多	c=1 d=0.767206 t=19590
bi jiao hao dian 	比较好点	c=1 d=0.882497 t=19590
bi jiao man 	比较慢	c=1 d=0.615697 t=19590
bi jiao ying 	比较硬	c=1 d=0.941765 t=19590
bi jie shi 	毕节市	c=1 d=0.909373 t=19590
bi jing 	毕竟	c=8 d=2.71237 t=19590
bi li 	比例	c=1 d=0.67032 t=19590
bi mian 	避免	c=4 d=1.68279 t=19590
bi ru 	比如	c=21 d=4.94225 t=19590
bi xu 	必须	c=9 d=2.11773 t=19590
bi yao 	必要	c=1 d=0.57695 t=19590
bi yao shi 	必要时	c=1 d=0.588605 t=19590
bian 	便	c=1 d=0.985112 t=19590
bian 	变	c=3 d=1.55949 t=19590
bian 	边	c=2 d=1.3746 t=19590
bian bie 	辨别	c=1 d=0.771052 t=19590
bian cheng 	变成	c=5 d=3.0868 t=19590
bian cheng 	编程	c=2 d=1.79391 t=19590
bian geng 	变更	c=3 d=1.75696 t=19590
bian guo 	变过	c=1 d=0.970446 t=19590
bian hua 	变化	c=2 d=1.70514 t=19590
bian ji 	编辑	c=5 d=2.93792 t=19590
bian ji qi 	编辑器	c=1 d=0.843665 t=19590
bian ju 	边距	c=6 d=3.16478 t=19590
bian le 	变了	c=2 d=1.8311 t=19590
bian liang 	变量	c=6 d=2.35056 t=19590
bian ma 	编码	c=8 d=2.39915 t=19590
bian xie 	编写	c=6 d=3.22834 t=19590
bian yi yang 	便一样	c=1 d=0.763379 t=19590
bian yu 	便于	c=1 d=0.790571 t=19590
biao da shi 	表达式	c=1 d=0.839457 t=19590
biao dian 	标点	c=1 d=0.985112 t=19590
biao ge 	表格	c=6 d=3.52786 t=19590
biao ji 	标记	c=8 d=4.98495 t=19590
biao qian 	标签	c=7 d=3.40439 t=19590
biao qian ye 	标签页	c=2 d=1.32177 t=19590
biao shi 	标识	c=3 d=2.76028 t=19590
biao ti 	标题	c=2 d=0.891366 t=19590
biao ti lan 	标题栏	c=2 d=1.86936 t=19590
biao zhi 	标志	c=3 d=1.27925 t=19590
bie 	别	c=3 d=2.03594 t=19590
bie de 	别的	c=1 d=0.733447 t=19590
bie ming 	别名	c=1 d=0.970446 t=19590
bie ren 	别人	c=3 d=0.66034 t=19590
bin 	斌	c=1 d=0.267135 t=19590
bin lang 	槟榔	c=1 d=0.895834 t=19590
bing 	并	c=19 d=4.04587 t=19590
bing bu hui 	并不会	c=1 d=0.985112 t=19590
bing fei 	并非	c=1 d=0.56836 t=19590
bing qie 	并且	c=3 d=1.72445 t=19590
bing tu 	饼图	c=1 d=0.319819 t=19590
bing xing 	并行	c=1 d=0.965605 t=19590
bo 	伯	c=1 d=0.918512 t=19590
bo bo 	伯伯	c=1 d=0.869358 t=19590
bo dong 	波动	c=1 d=0.955997 t=19590
bu 	不	c=21 d=4.57871 t=19590
bu bao cuo 	不报错	c=1 d=0.276651 t=19590
bu chi 	不吃	c=1 d=0.748264 t=19590
bu chong 	补充	c=2 d=1.52436 t=19590
bu chu lai 	不出来	c=4 d=1.95958 t=19590
bu chu li 	不处理	c=1 d=0.481909 t=19590
bu dao 	不到	c=3 d=1.32526 t=19590
bu diao 	不掉	c=2 d=0.939439 t=19590
bu ding 	补丁	c=2 d=1.41977 t=19590
bu dong 	不动	c=3 d=1.16434 t=19590
bu dong le 	不动了	c=1 d=0.923116 t=19590
bu dui 	不对	c=11 d=3.04887 t=19590
bu er zhi 	布尔值	c=7 d=2.74254 t=19590
bu fen 	部分	c=5 d=3.59276 t=19590
bu fen li 	不分离	c=1 d=0.806541 t=19590
bu gai 	不改	c=1 d=0.99005 t=19590
bu gan 	不干	c=1 d=0.980199 t=19590
bu gan 	不敢	c=1 d=0.913931 t=19590
bu gao 	不高	c=1 d=0.551563 t=19590
bu geng xin 	不更新	c=1 d=0.941765 t=19590
bu gou 	不够	c=2 d=1.66857 t=19590
bu guan 	不管	c=6 d=2.54836 t=19590
bu guan le 	不管了	c=1 d=0.995012 t=19590
bu gui fan 	不规范	c=1 d=0.88692 t=19590
bu guo 	不过	c=12 d=2.90928 t=19590
bu hao 	不好	c=1 d=0.554327 t=19590
bu he 	不和	c=2 d=1.22539 t=19590
bu hui 	不会	c=29 d=5.13771 t=19590
bu hui lai 	不回来	c=1 d=0.697676 t=19590
bu hui yuan 	不回源	c=1 d=0.980199 t=19590
bu huo 	捕获	c=4 d=1.64036 t=19590
bu ji 	不急	c=1 d=0.918512 t=19590
bu jia 	不加	c=2 d=1.548 t=19590
bu jian rong 	不兼容	c=1 d=0.900325 t=19590
bu jiu 	不就	c=1 d=0.540641 t=19590
bu jiu hao le 	不就好了	c=1 d=0.904837 t=19590
bu ke neng 	不可能	c=1 d=0.951229 t=19590
bu lai 	不来	c=2 d=1.87888 t=19590
bu liao 	不了	c=23 d=4.51165 t=19590
bu neng 	不能	c=19 d=3.7096 t=19590
bu qi lai 	不起来	c=5 d=4.11357 t=19590
bu qing chu 	不清楚	c=11 d=3.247 t=19590
bu qu 	不去	c=2 d=1.54985 t=19590
bu qu fen 	不区分	c=1 d=0.67368 t=19590
bu quan 	不全	c=1 d=0.506617 t=19590
bu que ding 	不确定	c=4 d=0.941317 t=19590
bu ran 	不然	c=5 d=1.75569 t=19590
bu ren shi 	不认识	c=1 d=0.582748 t=19590
bu ren tong 	不认同	c=1 d=0.771052 t=19590
bu ru 	不如	c=1 d=0.909373 t=19590
bu shang 	不上	c=3 d=1.90509 t=19590
bu shang ban 	不上班	c=1 d=0.860708 t=19590
bu sheng ji 	不升级	c=1 d=0.70822 t=19590
bu sheng xiao 	不生效	c=1 d=0.458406 t=19590
bu shi 	不是	c=34 d=5.2463 t=19590
bu shi dao 	不是到	c=1 d=0.946485 t=19590
bu shu 	部署	c=10 d=4.07368 t=19590
bu shu hao 	部署好	c=1 d=0.955997 t=19590
bu shu le 	部署了	c=1 d=0.66034 t=19590
bu suan 	不算	c=1 d=0.353455 t=19590
bu tai 	不太	c=6 d=2.27078 t=19590
bu tai dui 	不太对	c=5 d=2.24599 t=19590
bu tai hao 	不太好	c=5 d=1.98833 t=19590
bu tai hao zheng 	不太好整	c=1 d=0.554327 t=19590
bu tai li jie 	不太理解	c=1 d=0.65377 t=19590
bu tai qing chu 	不太清楚	c=2 d=1.59869 t=19590
bu tai xing 	不太行	c=1 d=0.551563 t=19590
bu tong 	不同	c=7 d=3.26659 t=19590
bu tong 	不通	c=16 d=3.9607 t=19590
bu tong guo 	不通过	c=1 d=0.358796 t=19590
bu xiang 	不像	c=2 d=0.678606 t=19590
bu xiang 	不想	c=1 d=0.582748 t=19590
bu xiang wan 	不想玩	c=1 d=0.489192 t=19590
bu xing 	不行	c=19 d=6.98322 t=19590
bu xing le 	不行了	c=1 d=0.955997 t=19590
bu xu yao 	不需要	c=8 d=2.37617 t=19590
bu yao 	不要	c=3 d=1.58807 t=19590
bu ye 	不也	c=1 d=0.852144 t=19590
bu yi ding 	不一定	c=1 d=0.802519 t=19590
bu yi lai 	不依赖	c=1 d=0.752014 t=19590
bu yi yang 	不一样	c=6 d=2.24198 t=19590
bu yi zhi 	不一致	c=3 d=2.40916 t=19590
bu ying gai 	不应该	c=3 d=1.19427 t=19590
bu ying xiang 	不影响	c=2 d=1.11984 t=19590
bu yong 	不用	c=20 d=2.52176 t=19590
bu yong guan 	不用管	c=1 d=0.843665 t=19590
bu yong ou ge 	不用讴歌	c=1 d=0.729789 t=19590
bu zai 	不再	c=3 d=2.45559 t=19590
bu zhi 	不止	c=2 d=0.918512 t=19590
bu zhi dao 	不知道	c=24 d=3.34604 t=19590
bu zhou 	步骤	c=1 d=0.856415 t=19590
bu zhuan 	不转	c=1 d=0.878095 t=19590
bu zu 	补足	c=2 d=1.9362 t=19590
bu zuo 	不做	c=1 d=0.932394 t=19590
cai 	才	c=1 d=0.904837 t=19590
cai dan 	菜单	c=6 d=4.81761 t=19590
cai dui 	才对	c=1 d=0.548812 t=19590
cai hui 	才会	c=8 d=2.21289 t=19590
cai ji 	采集	c=1 d=0.559898 t=19590
cai keng 	踩坑	c=1 d=0.951229 t=19590
cai neng 	才能	c=5 d=2.58503 t=19590
cai shi 	才是	c=4 d=1.31374 t=19590
cai xing 	才行	c=2 d=1.17464 t=19590
cai yong 	采用	c=1 d=0.524663 t=19590
can hui 	参会	c=1 d=0.895834 t=19590
can kao 	参考	c=3 d=2.65703 t=19590
can shu 	参数	c=22 d=7.05175 t=19590
cang ku 	仓库	c=2 d=1.15832 t=19590
cao 	曹	c=1 d=0.937067 t=19590
cao zuo 	操作	c=36 d=5.42263 t=19590
ce 	测	c=2 d=0.740818 t=19590
ce bian lan 	侧边栏	c=1 d=0.946485 t=19590
ce lve 	策略	c=27 d=6.1299 t=19590
ce shi 	测试	c=89 d=12.8293 t=19590
ce su 	测速	c=4 d=2.98506 t=19590
ce zhong dian 	侧重点	c=1 d=0.860708 t=19590
ceng 	层	c=1 d=0.615697 t=19590
ceng ji 	层级	c=1 d=1 t=19474
ceng mian 	层面	c=3 d=2.12147 t=19590
cha 	查	c=5 d=2.39159 t=19590
cha bu duo 	差不多	c=8 d=2.38299 t=19590
cha bu tai duo 	差不太多	c=2 d=1.38108 t=19590
cha dian 	差点	c=1 d=0.733447 t=19590
cha jian 	插件	c=19 d=6.76355 t=19590
cha kan 	查看	c=30 d=7.40424 t=19590
cha ru 	插入	c=5 d=2.53652 t=19590
cha xun 	查询	c=6 d=3.53554 t=19590
cha zhao 	查找	c=7 d=3.69462 t=19590
chai 	拆	c=2 d=0.754621 t=19590
chan dao 	禅道	c=1 d=0.88692 t=19590
chan sheng 	产生	c=2 d=0.513424 t=19590
chang du 	长度	c=2 d=1.06334 t=19590
chang jing 	场景	c=1 d=0.429557 t=19590
chang sha 	长沙	c=2 d=1.40059 t=19590
chang sha shi 	长沙市	c=3 d=1.3521 t=19590
chang shi 	尝试	c=1 d=0.790571 t=19590
chang yong 	常用	c=4 d=2.139 t=19590
chao chu 	超出	c=2 d=1.51325 t=19590
chao guo 	超过	c=3 d=1.92335 t=19590
chao guo le 	超过了	c=1 d=0.634448 t=19590
chao ji 	超级	c=1 d=0.932394 t=19590
chao ji kuai 	超级快	c=1 d=0.941765 t=19590
chao shi 	超时	c=4 d=1.14378 t=19590
che xiao 	撤销	c=2 d=1.52547 t=19590
chen 	辰	c=1 d=0.923116 t=19590
chen jin shi 	沉浸式	c=3 d=0.995012 t=19590
chen xu 	陈旭	c=1 d=0.677057 t=19590
cheng 	成	c=14 d=3.84625 t=19590
cheng chi 	城池	c=1 d=0.271173 t=19590
cheng du 	成都	c=1 d=0.852144 t=19590
cheng du 	程度	c=1 d=0.56836 t=19590
cheng gong 	成功	c=18 d=3.53401 t=19590
cheng le 	成了	c=1 d=0.694197 t=19590
cheng shi 	城市	c=2 d=1.18121 t=19590
cheng xu 	程序	c=27 d=6.40553 t=19590
chi 	吃	c=3 d=1.57732 t=19590
chi 	池	c=3 d=2.15512 t=19590
chi bu liao 	吃不了	c=1 d=0.913931 t=19590
chi duo 	吃多	c=1 d=0.882497 t=19590
chi jiu hua 	持久化	c=1 d=0.878095 t=19590
chi shen me 	吃什么	c=1 d=0.806541 t=19590
chi shi 	吃屎	c=1 d=0.923116 t=19590
chi wen ti 	池问题	c=1 d=0.900325 t=19590
chi xu 	持续	c=2 d=0.379182 t=19590
chi zi 	池子	c=1 d=0.891366 t=19590
chong dian 	充电	c=1 d=0.70822 t=19590
chong dian qi 	充电器	c=1 d=0.701173 t=19590
chong ding xiang 	重定向	c=1 d=0.214381 t=19590
chong fang 	重放	c=6 d=3.89239 t=19590
chong fu 	重复	c=3 d=2.41185 t=19590
chong gou 	重构	c=14 d=4.13944 t=19590
chong qi 	重启	c=10 d=4.61603 t=19590
chong shi 	重试	c=4 d=2.11481 t=19590
chong xin 	重新	c=31 d=5.78779 t=19590
chong zhi 	重置	c=7 d=3.34494 t=19590
chong zhuang 	重装	c=2 d=1.16139 t=19590
chou shi jian 	抽时间	c=3 d=2.12588 t=19590
chu 	出	c=5 d=2.69102 t=19590
chu 	处	c=1 d=0.591555 t=19590
chu ban 	初版	c=1 d=0.869358 t=19590
chu bu 	初步	c=5 d=3.56902 t=19590
chu cuo 	出错	c=6 d=2.99561 t=19590
chu cuo le 	出错了	c=1 d=0.810584 t=19590
chu fa 	触发	c=2 d=1.53477 t=19590
chu fei 	除非	c=3 d=1.20011 t=19590
chu lai 	出来	c=24 d=4.95539 t=19590
chu le 	除了	c=4 d=2.39053 t=19590
chu li 	处理	c=19 d=4.44875 t=19590
chu li le 	处理了	c=1 d=0.324652 t=19590
chu shi 	初始	c=3 d=1.47975 t=19590
chu shi hua 	初始化	c=4 d=2.80861 t=19590
chu wen ti 	出问题	c=5 d=2.65805 t=19590
chu xian 	出现	c=21 d=5.34138 t=19590
chuan 	传	c=2 d=0.512958 t=19590
chuan 	穿	c=1 d=0.937067 t=19590
chuan shu 	传输	c=1 d=0.865022 t=19590
chuan tou 	穿透	c=1 d=0.559898 t=19590
chuan xiao xie 	穿小鞋	c=1 d=0.941765 t=19590
chuang jian 	创建	c=38 d=9.06708 t=19590
chuang kou 	窗口	c=26 d=5.97892 t=19590
chuang ye 	创业	c=1 d=0.882497 t=19590
chui chui 	吹吹	c=1 d=0.88692 t=19590
ci 	次	c=7 d=2.50288 t=19590
ci 	此	c=14 d=4.84434 t=19590
ci chu 	此处	c=2 d=1.23856 t=19590
ci ci 	此次	c=1 d=0.918512 t=19590
ci pan 	磁盘	c=1 d=0.946485 t=19590
ci shu 	次数	c=6 d=2.82501 t=19590
ci zhi 	辞职	c=1 d=0.806541 t=19590
cong 	从	c=8 d=3.28777 t=19590
cong er 	从而	c=0 d=0.0923116 t=19590
cong er lu er 	从而鲁尔	c=9 d=2.98518 t=19590
cu si 	猝死	c=1 d=0.609571 t=19590
cun 	存	c=7 d=2.6229 t=19590
cun 	寸	c=1 d=0.752014 t=19590
cun chu 	存储	c=5 d=1.69468 t=19590
cun fang 	存放	c=2 d=1.28779 t=19590
cun zai 	存在	c=12 d=3.13418 t=19590
cuo guo 	错过	c=1 d=0.225373 t=19590
cuo wu 	错误	c=53 d=12.2605 t=19590
cuo wu le 	错误了	c=1 d=0.782705 t=19590
cuo wu zhuan huan 	错误转换	c=1 d=0.767206 t=19590
da 	大	c=1 d=0.442639 t=19590
da 	打	c=3 d=1.62449 t=19590
da bao 	打包	c=9 d=3.54839 t=19590
da bi 	大臂	c=1 d=0.726149 t=19590
da bu da 	大不大	c=1 d=0.379083 t=19590
da bu fen 	大部分	c=7 d=1.87855 t=19590
da dao 	达到	c=1 d=0.726149 t=19590
da duo 	大多	c=2 d=1.01341 t=19590
da duo qing kuang 	大多情况	c=1 d=0.562705 t=19590
da fu 	大幅	c=0 d=0.0802519 t=19590
da gai 	大概	c=5 d=1.70931 t=19590
da gai lv 	大概率	c=3 d=0.856229 t=19590
da jian 	搭建	c=5 d=2.46933 t=19590
da kai 	打开	c=16 d=5.62667 t=19590
da lian shi 	大连市	c=1 d=0.794534 t=19590
da shang 	打上	c=1 d=0.778801 t=19590
da shu ju liang 	大数据量	c=1 d=0.97531 t=19590
da wen ti 	大问题	c=1 d=0.937067 t=19590
da xiao 	大小	c=5 d=1.91794 t=19590
da xiao xie 	大小写	c=1 d=0.677057 t=19590
da xie 	大写	c=1 d=0.199888 t=19590
da xue 	大学	c=1 d=0.744532 t=19590
da yin 	打印	c=13 d=3.7764 t=19590
da yu 	大于	c=1 d=0.278037 t=19590
dai 	带	c=8 d=1.92048 t=19590
dai 	戴	c=1 d=0.946485 t=19590
dai bi 	代笔	c=1 d=0.66034 t=19590
dai biao 	代表	c=3 d=2.2963 t=19590
dai de dong 	带得动	c=1 d=0.310367 t=19590
dai le 	带了	c=2 d=1.28592 t=19590
dai li 	代理	c=12 d=9.72968 t=19590
dai ma 	代码	c=11 d=3.40295 t=19590
dai ti 	代替	c=3 d=2.52036 t=19590
dan 	但	c=7 d=2.42312 t=19590
dan 	单	c=3 d=0.823023 t=19590
dan chun 	单纯	c=2 d=1.37523 t=19590
dan ci 	单次	c=1 d=0.771052 t=19590
dan du 	单独	c=5 d=1.67486 t=19590
dan ge 	单个	c=3 d=1.35097 t=19590
dan hang 	单行	c=3 d=2.93096 t=19590
dan jie dian 	单节点	c=2 d=1.52504 t=19590
dan ni 	但你	c=1 d=0.782705 t=19590
dan shi 	但是	c=32 d=3.49933 t=19590
dan ye 	但也	c=1 d=0.136695 t=19590
dan yin hao 	单引号	c=3 d=1.45465 t=19590
dang 	党	c=1 d=0.895834 t=19590
dang 	当	c=9 d=2.42133 t=19590
dang chu 	当初	c=1 d=0.913931 t=19590
dang qian 	当前	c=24 d=8.13834 t=19590
dang qian wai nao 	当前外脑	c=1 d=0.932394 t=19590
dang wo 	当我	c=1 d=0.960789 t=19590
dang wo men 	当我们	c=1 d=1 t=19541
dang zuo 	当作	c=1 d=0.980199 t=19590
dao 	倒	c=5 d=2.20457 t=19590
dao 	到	c=41 d=7.43421 t=19590
dao bi 	倒闭	c=3 d=2.20875 t=19590
dao chu 	导出	c=2 d=1.30337 t=19590
dao di 	到底	c=1 d=0.752014 t=19590
dao le 	到了	c=3 d=0.647265 t=19590
dao li 	道理	c=2 d=0.830452 t=19590
dao ru 	导入	c=3 d=1.59252 t=19590
dao shi hou 	到时候	c=10 d=2.27383 t=19590
dao zhi 	导致	c=27 d=4.56363 t=19590
dao zhi de 	导致的	c=1 d=0.900325 t=19590
de 	的	c=1105 d=26.4093 t=19590
de hen 	得很	c=0 d=0.0733447 t=19590
dei 	得	c=9 d=3.66163 t=19590
deng 	登	c=2 d=1.39279 t=19590
deng 	等	c=19 d=3.77194 t=19590
deng 	邓	c=1 d=0.794534 t=19590
deng dai 	等待	c=30 d=7.51306 t=19590
deng hui 	等会	c=1 d=0.621885 t=19590
deng hui er 	等会儿	c=15 d=3.21001 t=19590
deng hui er ri 	等会儿日	c=1 d=0.67368 t=19590
deng ji 	等级	c=1 d=0.66365 t=19590
deng lu 	登录	c=11 d=6.28905 t=19590
deng ni 	等你	c=1 d=0.343009 t=19590
deng wo 	等我	c=1 d=0.767206 t=19590
deng xia 	等下	c=8 d=2.04739 t=19590
deng yi xia 	等一下	c=1 d=0.839457 t=19590
deng yu 	等于	c=1 d=0.826959 t=19590
di 	低	c=1 d=0.371466 t=19590
di 	地	c=1 d=0.904837 t=19590
di bu 	地步	c=1 d=0.900325 t=19590
di bu 	底部	c=2 d=1.33718 t=19590
di ceng 	底层	c=1 d=0.860708 t=19590
di er ge 	第二个	c=1 d=0.425283 t=19590
di fang 	地方	c=14 d=3.44198 t=19590
di hua zhi 	低画质	c=1 d=0.486752 t=19590
di li 	地理	c=1 d=0.882497 t=19590
di san fang 	第三方	c=4 d=3.11292 t=19590
di xia 	地下	c=1 d=0.923116 t=19590
di yi ban 	第一版	c=1 d=0.418952 t=19590
di yi ci 	第一次	c=1 d=0.83527 t=19590
di yi ge 	第一个	c=1 d=0.38868 t=19590
di yu 	地域	c=1 d=0.289384 t=19590
di zhi 	地址	c=49 d=9.24609 t=19590
dian 	点	c=10 d=2.67122 t=19590
dian ban 	点半	c=1 d=0.794534 t=19590
dian ji 	点击	c=7 d=2.53412 t=19590
dian nao 	电脑	c=9 d=2.17688 t=19590
dian xin 	电信	c=8 d=4.74072 t=19590
dian yuan 	电源	c=2 d=0.866189 t=19590
diao 	掉	c=6 d=2.232 t=19590
diao 	调	c=1 d=0.774916 t=19590
diao du 	调度	c=9 d=4.35488 t=19590
diao le 	掉了	c=1 d=0.45612 t=19590
diao yong 	调用	c=6 d=1.83986 t=19590
ding 	顶	c=2 d=1.27876 t=19590
ding bu 	顶部	c=4 d=3.38744 t=19590
ding dan 	订单	c=1 d=0.778801 t=19590
ding de zhu 	顶得住	c=1 d=0.644036 t=19590
ding lan 	顶栏	c=1 d=0.13068 t=19590
ding shi 	定时	c=5 d=2.63094 t=19590
ding shi ren wu 	定时任务	c=1 d=0.767206 t=19590
ding wei 	定位	c=4 d=2.84294 t=19590
ding yi 	定义	c=3 d=2.41645 t=19590
ding zhi hua 	定制化	c=1 d=0.396531 t=19590
diu le 	丢了	c=1 d=0.839457 t=19590
diu shi 	丢失	c=1 d=0.932394 t=19590
dong 	动	c=5 d=2.16706 t=19590
dong 	懂	c=1 d=0.955997 t=19590
dong guan shi 	东莞市	c=1 d=0.562705 t=19590
dong hua 	动画	c=3 d=1.90894 t=19590
dong le 	懂了	c=1 d=0.603506 t=19590
dong tai 	动态	c=4 d=2.48684 t=19590
dong xi 	东西	c=59 d=5.84647 t=19590
dou 	都	c=96 d=6.43913 t=19590
dou bu yao 	都不要	c=1 d=0.680451 t=19590
dou dei 	都得	c=1 d=0.543351 t=19590
dou hui 	都会	c=6 d=1.96503 t=19590
dou ke yi 	都可以	c=3 d=1.27421 t=19590
dou shi 	都是	c=41 d=6.1598 t=19590
dou suan zuo 	都算作	c=1 d=0.279431 t=19590
dou wei 	都为	c=1 d=0.980199 t=19590
dou xing 	都行	c=1 d=0.927743 t=19590
dou yao 	都要	c=6 d=2.20335 t=19590
dou you 	都有	c=5 d=2.70753 t=19590
dou zai 	都在	c=1 d=0.878095 t=19590
du 	度	c=2 d=1.2238 t=19590
du 	读	c=4 d=1.57609 t=19590
du qu 	读取	c=6 d=2.01223 t=19590
du shu 	读书	c=1 d=0.740818 t=19590
du yan 	读研	c=1 d=0.752014 t=19590
du ying 	赌赢	c=1 d=0.960789 t=19590
du zhu 	堵住	c=1 d=0.290835 t=19590
duan 	断	c=1 d=0.839457 t=19590
duan 	段	c=13 d=3.83006 t=19590
duan 	端	c=1 d=0.158025 t=19590
duan kai 	断开	c=2 d=0.923116 t=19590
duan kou 	端口	c=15 d=4.15 t=19590
duan le 	断了	c=1 d=0.818731 t=19590
duan yan 	断言	c=9 d=4.47229 t=19590
dui 	堆	c=1 d=0.694197 t=19590
dui 	对	c=11 d=3.41521 t=19590
dui a 	对啊	c=4 d=1.81268 t=19590
dui ba 	对吧	c=8 d=2.2674 t=19590
dui bi 	对比	c=11 d=4.03717 t=19590
dui bu dui 	对不对	c=1 d=0.414783 t=19590
dui bu shang 	对不上	c=6 d=2.76605 t=19590
dui de 	对的	c=4 d=1.87042 t=19590
dui de 	怼得	c=1 d=0.923116 t=19590
dui jie 	对接	c=1 d=0.771052 t=19590
dui ni 	对你	c=1 d=0.900325 t=19590
dui shang 	对上	c=1 d=0.451581 t=19590
dui wo 	对我	c=1 d=0.822835 t=19590
dui xiang 	对象	c=1 d=0.927743 t=19590
dui ying 	对应	c=12 d=3.18339 t=19590
dui zhao 	对照	c=1 d=0.609571 t=19590
duo 	多	c=11 d=3.20107 t=19590
duo dian 	多点	c=2 d=1.17727 t=19590
duo ge 	多个	c=2 d=1.70908 t=19590
duo ji 	多级	c=3 d=2.39227 t=19578
duo jiu 	多久	c=3 d=1.30311 t=19590
duo le 	多了	c=8 d=3.19746 t=19590
duo ma 	多吗	c=1 d=0.995012 t=19590
duo shao 	多少	c=6 d=2.04763 t=19590
duo shao a 	多少啊	c=1 d=0.955997 t=19590
duo shao ci 	多少次	c=1 d=0.637628 t=19590
duo tiao 	多条	c=1 d=1 t=19504
duo tiao jian 	多条件	c=1 d=0.429557 t=19590
duo yang ben 	多样本	c=1 d=0.860708 t=19590
duo yang hua 	多样化	c=1 d=0.782705 t=19590
e wai 	额外	c=1 d=0.740818 t=19590
e xin 	恶心	c=1 d=0.995012 t=19590
en 	嗯	c=92 d=11.8202 t=19590
er 	而	c=1 d=0.860708 t=19590
er qie 	而且	c=14 d=2.31782 t=19590
er wei 	二维	c=1 d=0.909373 t=19590
er yi 	而已	c=1 d=0.970446 t=19590
fa 	发	c=7 d=2.81315 t=19590
